filename,label,bag_type,soil,depth_m,cx_m,clutter
bscan_preview/noleak_bare_s03_bscan.png,0,,s03,,,bare
bscan_preview/noleak_bare_s04_bscan.png,0,,s04,,,bare
bscan_preview/noleak_bare_s06_bscan.png,0,,s06,,,bare
bscan_preview/noleak_bare_s08_bscan.png,0,,s08,,,bare
bscan_preview/noleak_bare_s10_bscan.png,0,,s10,,,bare
bscan_preview/noleak_bare_s12_bscan.png,0,,s12,,,bare
bscan_preview/noleak_bare_s14_bscan.png,0,,s14,,,bare
bscan_preview/noleak_bare_s16_bscan.png,0,,s16,,,bare
bscan_preview/noleak_bare_s18_bscan.png,0,,s18,,,bare
bscan_preview/noleak_bare_s20_bscan.png,0,,s20,,,bare
bscan_preview/noleak_bare_s22_bscan.png,0,,s22,,,bare
bscan_preview/noleak_bare_s25_bscan.png,0,,s25,,,bare
bscan_preview/noleak_pipe_soil_dry_d010_x20_bscan.png,0,,soil_dry,0.1,0.2,pipe
bscan_preview/noleak_pipe_soil_dry_d010_x30_bscan.png,0,,soil_dry,0.1,0.3,pipe
bscan_preview/noleak_pipe_soil_dry_d010_x40_bscan.png,0,,soil_dry,0.1,0.4,pipe
bscan_preview/noleak_pipe_soil_dry_d035_x20_bscan.png,0,,soil_dry,0.35,0.2,pipe
bscan_preview/noleak_pipe_soil_dry_d035_x30_bscan.png,0,,soil_dry,0.35,0.3,pipe
bscan_preview/noleak_pipe_soil_dry_d035_x40_bscan.png,0,,soil_dry,0.35,0.4,pipe
bscan_preview/noleak_pipe_soil_dry_d065_x20_bscan.png,0,,soil_dry,0.65,0.2,pipe
bscan_preview/noleak_pipe_soil_dry_d065_x30_bscan.png,0,,soil_dry,0.65,0.3,pipe
bscan_preview/noleak_pipe_soil_dry_d065_x40_bscan.png,0,,soil_dry,0.65,0.4,pipe
bscan_preview/noleak_pipe_soil_dry_d100_x20_bscan.png,0,,soil_dry,1.0,0.2,pipe
bscan_preview/noleak_pipe_soil_dry_d100_x30_bscan.png,0,,soil_dry,1.0,0.3,pipe
bscan_preview/noleak_pipe_soil_dry_d100_x40_bscan.png,0,,soil_dry,1.0,0.4,pipe
bscan_preview/noleak_pipe_soil_med_d010_x20_bscan.png,0,,soil_med,0.1,0.2,pipe
bscan_preview/noleak_pipe_soil_med_d010_x30_bscan.png,0,,soil_med,0.1,0.3,pipe
bscan_preview/noleak_pipe_soil_med_d010_x40_bscan.png,0,,soil_med,0.1,0.4,pipe
bscan_preview/noleak_pipe_soil_med_d035_x20_bscan.png,0,,soil_med,0.35,0.2,pipe
bscan_preview/noleak_pipe_soil_med_d035_x30_bscan.png,0,,soil_med,0.35,0.3,pipe
bscan_preview/noleak_pipe_soil_med_d035_x40_bscan.png,0,,soil_med,0.35,0.4,pipe
